eei_id,exon1,exon2,p_value,chi2_statistic,odds_ratio,cachexic_with_eei,cachexic_without_eei,control_with_eei,control_without_eei,total_samples,corrected_p,significant
ENSMUSE00001245399_ENSMUSE00000116543,ENSMUSE00001245399,ENSMUSE00000116543,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00001245399_ENSMUSE00000116545,ENSMUSE00001245399,ENSMUSE00000116545,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00001245399_ENSMUSE00000116547,ENSMUSE00001245399,ENSMUSE00000116547,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00001245399_ENSMUSE00000116550,ENSMUSE00001245399,ENSMUSE00000116550,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00001245399_ENSMUSE00000116546,ENSMUSE00001245399,ENSMUSE00000116546,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00001246685_ENSMUSE00000218537,ENSMUSE00001246685,ENSMUSE00000218537,0.3710754793234742,0.8000598387503148,0.2857142857142857,2,7,7,7,23,1.0,False
ENSMUSE00001231312_ENSMUSE00000218537,ENSMUSE00001231312,ENSMUSE00000218537,0.3710754793234742,0.8000598387503148,0.2857142857142857,2,7,7,7,23,1.0,False
ENSMUSE00001254231_ENSMUSE00000218537,ENSMUSE00001254231,ENSMUSE00000218537,0.3710754793234742,0.8000598387503148,0.2857142857142857,2,7,7,7,23,1.0,False
ENSMUSE00000749087_ENSMUSE00000218537,ENSMUSE00000749087,ENSMUSE00000218537,0.24990760179072924,1.3238201530612246,0.16666666666666666,1,8,6,8,23,0.9724198373404308,False
ENSMUSE00001220243_ENSMUSE00000218537,ENSMUSE00001220243,ENSMUSE00000218537,0.24990760179072924,1.3238201530612246,0.16666666666666666,1,8,6,8,23,0.9724198373404308,False
ENSMUSE00001261591_ENSMUSE00000218537,ENSMUSE00001261591,ENSMUSE00000218537,0.24990760179072924,1.3238201530612246,0.16666666666666666,1,8,6,8,23,0.9724198373404308,False
ENSMUSE00001276413_ENSMUSE00000218537,ENSMUSE00001276413,ENSMUSE00000218537,0.24990760179072924,1.3238201530612246,0.16666666666666666,1,8,6,8,23,0.9724198373404308,False
ENSMUSE00000218537_ENSMUSE00000116544,ENSMUSE00000218537,ENSMUSE00000116544,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000218537_ENSMUSE00000116543,ENSMUSE00000218537,ENSMUSE00000116543,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000218537_ENSMUSE00000116545,ENSMUSE00000218537,ENSMUSE00000116545,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000218537_ENSMUSE00000116547,ENSMUSE00000218537,ENSMUSE00000116547,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
